,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,12487,SEEMANCHAL EXP,PPTA,05:20,ANVT,20:45,15:25H,Y,Y,Y,Y,Y,Y,Y,2A3A3ESL
1,15658,BRAHMPUTRA MAIL,PNBE,12:50,DLI,04:35,15:45H,Y,Y,Y,Y,Y,Y,Y,2A3ASL
2,12367,VIKRAMSHILA EXPRESS,PNBE,17:05,ANVT,07:20,14:15H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL2S
3,13483,FARAKKA EXPRESS,PNBE,04:55,DLI,04:50,23:55H,X,Y,X,Y,Y,X,Y,2A3ASL
4,12423,DBRT NDLS RAJDHANI,PPTA,21:50,NDLS,10:30,12:40H,Y,Y,Y,Y,Y,Y,Y,1A2A3A
5,22449,PORVOTR S KRNTI,PPTA,22:45,NDLS,12:35,13:50H,X,X,X,Y,X,X,Y,1A2A3ASL2S
6,12505,NORTH EAST EXP,PPTA,05:45,ANVT,21:50,16:05H,Y,Y,Y,Y,Y,Y,Y,2A3ASL
7,15483,MAHANANDA EXP,PNBE,03:25,DLI,21:45,18:20H,Y,Y,Y,Y,Y,Y,Y,2A3ASL
8,12391,SHRAMJEEVI EXP,PNBE,10:30,NDLS,04:40,18:10H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL
9,20801,MAGADH EXPRESS,PNBE,17:30,NDLS,11:50,18:20H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL2S
10,12393,S KRANTI SUP EX,PNBE,19:45,NDLS,07:55,12:10H,Y,Y,Y,Y,Y,Y,Y,1A2A3A3ESL2S
11,12309,RJPB RAJDHANI,PNBE,19:35,NDLS,07:40,12:05H,Y,Y,Y,Y,Y,Y,Y,1A2A3A
12,14015,SADBHAVANA EXP,HJP,04:45,ANVT,04:45,24:00H,X,Y,X,Y,X,X,X,2A3A3ESL
13,14007,SADBHAVANA EXP,HJP,04:45,ANVT,04:45,24:00H,X,X,X,X,Y,X,Y,2A3A3ESL
14,14017,SADBHAVANA EXP,HJP,04:45,ANVT,04:45,24:00H,X,X,X,X,X,Y,X,2A3A3ESL
15,13413,FARAKKA EXPRESS,PNBE,04:55,DLI,04:50,23:55H,Y,X,Y,X,X,Y,X,2A3ASL2S
16,14005,LICHCHAVI EXP,HJP,05:45,ANVT,04:15,22:30H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL
17,15707,KIR ASR EXPRESS,HJP,06:25,DLI,02:55,20:30H,Y,Y,Y,Y,Y,Y,Y,2A3ASL
18,12565,BIHAR S KRANTI,HJP,11:25,NDLS,05:10,17:45H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL
19,12553,VAISHALI EXP,HJP,11:55,NDLS,06:25,18:30H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL
20,15624,KYQ BGKT EXPRESS,PNBE,13:35,DLI,09:50,20:15H,X,X,X,X,X,X,Y,2A3ASL
21,15715,GARIB NAWAJ EXP,HJP,15:05,DLI,13:15,22:10H,Y,X,Y,X,X,Y,X,1A3ASL
22,13257,JAN SADHARAN EXP,DNR,16:00,ANVT,10:25,18:25H,Y,Y,Y,Y,Y,Y,Y,UNRESERVED
23,12303,POORVA EXPRESS,PNBE,16:10,NDLS,06:00,13:50H,X,Y,Y,X,X,Y,Y,1A2A3ASL
24,15279,POORBIYA EXP,HJP,16:20,ANVT,11:45,19:25H,Y,X,X,X,Y,X,X,1A2A3ASL
25,22459,HUMSAFAR EXP,PNBE,16:40,ANVT,06:25,13:45H,X,X,Y,X,X,X,X,3ASL
26,22465,MDP ANVT SF EXP,PNBE,16:40,ANVT,06:25,13:45H,X,X,X,X,Y,X,X,2A3ASL
27,12273,NDLS DURONTO,PNBE,16:40,NDLS,06:35,13:55H,X,Y,X,X,X,Y,X,1A2A3ASL2S
28,19602,NJP UDZ EXPRESS,HJP,17:10,DLI,12:00,18:50H,X,Y,X,X,X,X,X,2A3ASL
29,12523,NJP NDLS EXPRESS,HJP,17:10,NDLS,12:00,18:50H,X,X,Y,X,X,X,Y,2A3ASL
30,15909,ABADH ASSAM EXP,HJP,17:30,DLI,15:55,22:25H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL
31,22411,ARUNACHAL EXP,HJP,18:00,ANVT,11:30,17:30H,Y,X,X,Y,X,X,X,1A2A3A
32,13429,MLDT ANVT EXP,PNBE,18:05,ANVT,14:25,20:20H,X,X,X,X,X,Y,X,2A3ASL2S
33,14003,MLDT NDLS EXPRES,PNBE,18:05,NDLS,14:30,20:25H,X,X,Y,X,X,X,Y,3ASL2S
34,12435,JYG ANVT G RATH,PNBE,18:20,ANVT,08:50,14:30H,X,Y,X,X,X,Y,X,3A
35,22405,BGP GARIB RATH,PNBE,18:20,ANVT,08:50,14:30H,X,X,Y,X,Y,X,Y,3A
36,12203,GARIB RATH EXP,HJP,19:55,NDLS,13:55,18:00H,Y,Y,X,X,Y,X,X,3ACC
37,20503,DBRG NDLS RAJEXP,HJP,20:35,NDLS,13:38,17:03H,Y,Y,X,Y,Y,Y,X,1A2A3A
38,20505,RAJDHANI EXP,HJP,20:35,NDLS,13:38,17:03H,X,X,Y,X,X,X,Y,1A2A3A
39,12235,HUMSAFAR EXP,PNBE,21:10,ANVT,10:50,13:40H,X,X,X,X,X,Y,X,3ASL
40,12305,KOLKATA RJDHNI,PNBE,21:10,NDLS,10:05,12:55H,Y,X,X,X,X,X,X,1A2A3A
41,15621,KYQ ANVT EXPRESS,HJP,21:45,ANVT,18:15,20:30H,X,X,X,X,Y,X,X,2A3ASL
42,20501,TEJAS EXPRESS,PPTA,22:25,ANVT,10:50,12:25H,X,X,Y,X,X,X,X,1A2A3A
43,14619,TRIPURA SUNDARI EXP,PPTA,22:45,NDLS,12:35,13:50H,X,X,X,X,X,Y,X,2A3ASL
44,14037,NDLS S KRANTI EXP,PPTA,22:45,NDLS,12:35,13:50H,X,X,Y,X,X,X,X,1A2A3ASL
45,12561,SWATANTRA S EXP,HJP,22:55,NDLS,15:40,16:45H,Y,Y,Y,Y,Y,Y,Y,1A2A3ASL
